sine, triangle, square, sawtooth
0, -1, -1, -1
0.004274262704416084, -0.9972789115646259, -1, -0.998639455782313
0.008548447320595277, -0.9945578231292517, -1, -0.9972789115646259
0.012822475761727318, -0.9918367346938776, -1, -0.9959183673469387
0.01709626994385516, -0.9891156462585035, -1, -0.9945578231292517
0.02136975178730155, -0.9863945578231292, -1, -0.9931972789115646
0.025642843218095453, -0.9836734693877551, -1, -0.9918367346938776
0.029915466169398455, -0.9809523809523809, -1, -0.9904761904761905
0.034187542582930976, -0.9782312925170068, -1, -0.9891156462585035
0.038458994410398364, -0.9755102040816327, -1, -0.9877551020408163
0.04272974361491678, -0.9727891156462585, -1, -0.9863945578231292
0.046999712172438875, -0.9700680272108844, -1, -0.9850340136054422
0.051268822073179295, -0.9673469387755103, -1, -0.9836734693877551
0.05553699532303978, -0.964625850340136, -1, -0.9823129251700681
0.05980415394503417, -0.9619047619047619, -1, -0.9809523809523809
0.06407021998071291, -0.9591836734693877, -1, -0.9795918367346939
0.06833511549158741, -0.9564625850340136, -1, -0.9782312925170068
0.07259876256055382, -0.9537414965986395, -1, -0.9768707482993197
0.07686108329331656, -0.9510204081632653, -1, -0.9755102040816327
0.08112199981981151, -0.9482993197278912, -1, -0.9741496598639455
0.08538143429562847, -0.9455782312925171, -1, -0.9727891156462585
0.0896393089034335, -0.9428571428571428, -1, -0.9714285714285714
0.09389554585439044, -0.9401360544217687, -1, -0.9700680272108844
0.09815006738958226, -0.9374149659863945, -1, -0.9687074829931973
0.10240279578143142, -0.9346938775510204, -1, -0.9673469387755103
0.10665365333512015, -0.9319727891156463, -1, -0.9659863945578231
0.11090256239000974, -0.9292517006802721, -1, -0.964625850340136
0.11514944532105935, -0.926530612244898, -1, -0.963265306122449
0.11939422454024434, -0.9238095238095239, -1, -0.9619047619047619
0.12363682249797349, -0.9210884353741496, -1, -0.9605442176870749
0.127877161684506, -0.9183673469387755, -1, -0.9591836734693877
0.13211516463136752, -0.9156462585034013, -1, -0.9578231292517007
0.1363507539127653, -0.9129251700680272, -1, -0.9564625850340136
0.14058385214700292, -0.9102040816326531, -1, -0.9551020408163265
0.14481438199789387, -0.9074829931972789, -1, -0.9537414965986395
0.14904226617617441, -0.9047619047619048, -1, -0.9523809523809523
0.15326742744091587, -0.9020408163265307, -1, -0.9510204081632653
0.15748978860093535, -0.8993197278911564, -1, -0.9496598639455782
0.16170927251620631, -0.8965986394557823, -1, -0.9482993197278912
0.16592580209926777, -0.8938775510204082, -1, -0.9469387755102041
0.17013930031663263, -0.891156462585034, -1, -0.9455782312925171
0.174349690190195, -0.8884353741496599, -1, -0.9442176870748299
0.17855689479863665, -0.8857142857142857, -1, -0.9428571428571428
0.18276083727883216, -0.8829931972789116, -1, -0.9414965986394558
0.18696144082725333, -0.8802721088435375, -1, -0.9401360544217687
0.19115862870137232, -0.8775510204081632, -1, -0.9387755102040817
0.19535232422106338, -0.8748299319727891, -1, -0.9374149659863945
0.19954245077000426, -0.8721088435374149, -1, -0.9360544217687075
0.20372893179707552, -0.8693877551020408, -1, -0.9346938775510204
0.20791169081775931, -0.8666666666666667, -1, -0.9333333333333333
0.21209065141553668, -0.8639455782312925, -1, -0.9319727891156463
0.21626573724328343, -0.8612244897959184, -1, -0.9306122448979592
0.22043687202466528, -0.8585034013605441, -1, -0.9292517006802721
0.2246039795555311, -0.85578231292517, -1, -0.927891156462585
0.22876698370530527, -0.8530612244897959, -1, -0.926530612244898
0.2329258084183786, -0.8503401360544218, -1, -0.9251700680272109
0.2370803777154975, -0.8476190476190476, -1, -0.9238095238095239
0.2412306156951525, -0.8448979591836735, -1, -0.9224489795918367
0.24537644653496465, -0.8421768707482993, -1, -0.9210884353741496
0.24951779449307077, -0.8394557823129252, -1, -0.9197278911564626
0.25365458390950735, -0.8367346938775511, -1, -0.9183673469387755
0.25778673920759276, -0.8340136054421768, -1, -0.9170068027210885
0.26191418489530777, -0.8312925170068027, -1, -0.9156462585034013
0.2660368455666751, -0.8285714285714285, -1, -0.9142857142857143
0.2701546459031368, -0.8258503401360544, -1, -0.9129251700680272
0.2742675106749304, -0.8231292517006803, -1, -0.9115646258503401
